버스정류장코드,시도명,시군코드,버스정류장명,측정시간,측정원본시간,미세먼지PM2점5측정값,미세먼지PM10측정값,일산화탄소측정값,이산화황측정값,이산화질소측정값,외부온도측정값,외부습도측정값,풍향,풍속측정값
06049,성남시,41130,상대원고개,2020-09-08 15:29:33,1599578973,8,11,0.074,0.001,0.097,26.9,47.6,W ,0.3
07103,성남시,41130,대원사거리.까치마을,2020-09-08 15:25:58,1599578758,8,9,0.271,0,0,27.9,46.3,SW,2.7
07060,성남시,41130,하얀마을.구미도서관,2020-09-08 15:26:53,1599578813,10,15,0.23,0,0.09,28.3,46.3,SE,0.5
07270,성남시,41130,목련마을한신아파트,2020-09-08 15:22:06,1599578526,6,7,0.239,0,0.143,27.1,49.9,N ,0
07045,성남시,41130,미금역.2001아울렛,2020-09-08 15:21:22,1599578482,14,17,0.46,0,0.054,26.5,51.4,W ,1.3
05033,성남시,41130,성남수정경찰서,2020-09-08 15:26:00,1599578760,14,19,0,0,0.025,26.9,47.7,SW,2
07059,성남시,41130,농수산물센터,2020-09-08 15:20:29,1599578429,11,14,0.138,0,0.091,26.9,49.1,SW,2
05073,성남시,41130,태평제일교회,2020-09-08 15:26:59,1599578819,9,11,0,0.001,0.072,28.2,44.2,N ,1.3
05036,성남시,41130,모란고개,2020-09-08 15:21:59,1599578519,9,12,0,0,0.09,27.2,47.3,SW,1.3
07155,성남시,41130,푸른마을,2020-09-08 15:25:31,1599578731,13,18,0,0.002,0.065,28.4,46.3,SE,0
07502,성남시,41130,판교도서관.판교청소년수련관,2020-09-08 15:24:41,1599578681,9,12,0.371,0,0.046,26.9,49.7,S ,0.3
07498,성남시,41130,삼평교,2020-09-08 15:19:23,1599578363,10,13,0.136,0,0.152,27.3,48.9,E ,2
06349,성남시,41130,상대원1동행정복지센터,2020-09-08 15:26:31,1599578791,7,8,0,0,0.056,27.6,45,W ,1.7
05135,성남시,41130,을지대학교.생활관,2020-09-08 15:21:03,1599578463,9,14,0,0.029,0.047,26.6,49.5,N ,0
05008,성남시,41130,고등동우체국,2020-09-08 15:27:53,1599578873,10,13,0,0.051,0.092,29.7,41.8,NW,1.3
05142,성남시,41130,복정초등학교,2020-09-08 15:29:09,1599578949,8,10,0,0,0.074,28.2,47.7,W ,1.3
07283,성남시,41130,영남아파트,2020-09-08 15:27:18,1599578838,8,10,0,0,0.044,26.6,49.7,NW,1.7
05021,성남시,41130,신촌동앞,2020-09-08 15:26:00,1599578760,10,12,0,0.075,0.05,27.2,50.9,N ,0.7
06195,성남시,41130,도촌3단지,2020-09-08 15:29:01,1599578941,8,10,0,0.019,0.041,27.3,48.9,S ,0.7
05140,성남시,41130,성남초교사거리,2020-09-08 15:20:42,1599578442,10,12,0,0,0.065,28.5,43.5,W ,1
07561,성남시,41130,이매촌한신.서현역.AK프라자,2020-09-08 15:23:02,1599578582,9,11,0,0.002,0.073,27.1,51.1,E ,0.9
05322,성남시,41130,위례새초롱유치원,2020-09-08 15:29:22,1599578962,7,8,0,0,0.065,26.6,50.7,SE,0
06210,성남시,41130,(구)단대동주민센터,2020-09-08 15:25:46,1599578746,9,11,0,0,0.025,26.8,47.6,SE,3.2
06070,성남시,41130,은행동현대아파트,2020-09-08 15:30:11,1599579011,6,8,0,0.026,0.097,27.9,45,W ,1
06206,성남시,41130,성남우체국,2020-09-08 15:29:54,1599578994,7,10,0.008,0,0.058,28.1,44.6,E ,2.3
07110,성남시,41130,주공4단지,2020-09-08 15:21:02,1599578462,8,12,0.018,0.018,0.078,26.8,49.5,SW,1
07624,성남시,41130,정자역,2020-09-08 15:30:14,1599579014,13,16,0,0,0.118,27.6,52,NE,0.2
07029,성남시,41130,로얄냉장,2020-09-08 15:26:56,1599578816,14,17,0.032,0,0.078,27.6,47.2,SE,1.8
05183,성남시,41130,송현초등학교.판교이지더원2단지,2020-09-08 15:22:47,1599578567,9,10,0.161,0,0.098,27.8,47.6,SW,2.1
07515,성남시,41130,뫼루니육교,2020-09-08 15:22:41,1599578561,9,13,0.247,0,0.096,26.4,50.5,SW,1.3
07092,성남시,41130,주공7단지.한솔종합사회복지관,2020-09-08 15:21:12,1599578472,9,12,0.026,0.08,0.073,27.3,49.3,W ,2
05070,성남시,41130,수진역.성호시장.성일중고입구,2020-09-08 15:24:07,1599578647,10,13,0.429,0.014,0.017,28.4,44,SW,1.8
07220,성남시,41130,평생학습원. 중앙도서관,2020-09-08 15:21:02,1599578462,6,9,0,0,0,26.8,51,NE,0
07163,성남시,41130,한솔마을청구아파트,2020-09-08 15:24:33,1599578673,6,8,0,0.001,0.088,28.4,47.5,S ,0
23305,남양주시,41360,금곡예비군훈련장.충일아파트,2020-09-08 15:27:25,1599578845,18,25,1.383,0.071,0.079,28.2,49.9,NW,1.9
49831,남양주시,41360,금강펜테리움 1차,2020-09-08 15:25:20,1599578720,21,32,0,0.001,0.125,27.6,51.8,SW,0.7
49689,남양주시,41360,도농고,2020-09-08 15:27:54,1599578874,23,35,0,0,0,28.5,49.2,S ,3
23087,남양주시,41360,롯데아파트.다산센트레빌,2020-09-08 15:25:33,1599578733,25,47,0,0,0.078,27.4,52.4,NW,1.8
49291,남양주시,41360,오남체육공원.대우푸르지오아파트,2020-09-08 15:21:47,1599578507,14,21,0,0,0.046,26.2,58.1,SE,0.3
