"측정망별(1)",측정망별(2),측정망별(3),측정망별(4),2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03
"도시대기",서울,중구,중구,62,35,44,23,26,24,20,27,36,40,41,40,41
"도시대기",서울,종로구,종로구,61,35,44,24,25,24,20,27,37,42,43,42,43
"도시대기",서울,중랑구,중랑구,60,32,42,22,22,21,14*,45**,40,42,42,41,45
"도시대기",서울,동대문구,동대문구,63,33,42,22,22,21,16*,43**,42,43,39,39,40
"도시대기",서울,은평구,은평구,70,44,57,31,26*,26,22,29,37,40,39,38,46
"도시대기",서울,마포구,마포구,77,50,65,36,25,23,16**,43**,41,40,41,37,42
"도시대기",서울,영등포구,영등포구,76,52,64,37,26,24,22,30,36,35,41,39,42
"도시대기",서울,동작구,동작구,68,39,48,29,30,30,29,35,44,46,50,48,51
"도시대기",서울,관악구,관악구,76,48,62,35,26,24,-,45**,44,43,43,41,45
"도시대기",서울,강남구,강남구,64,34,43,24,29,29,24*,33,44,43,39,38,41
"도시대기",서울,금천구,금천구,66,38,45,25,25,24,19,28,35,36,42,41,43
"도시대기",서울,강동구,강동구,67,37,47,26,26,22,19,34,54,48,47,46,45
"도시대기",서울,강북구,강북구,73,39,52,30,31,32,26,36,41,46,44,46,46
"도시대기",서울,성북구,성북구,65,42,58,30,23,26,29,40,47,43,41,40,45
"도시대기",서울,용산구,용산구,59,31,41,20,21,23,17,23,32,37,42,39,46
"도시대기",서울,광진구,광진구,69,43,57,32*,27,28,24,34,40,37,40,41,46
"도시대기",서울,성동구,성동구,80,46,55,34,31,25,22,29,38,38,40,40,42
"도시대기",서울,도봉구,도봉구,65,38,53,29,23,20,17,25,32,38,38,38,41
"도시대기",서울,서대문구,서대문구,69,44,59,30,24,23,20,28,34,40,41,40,50
"도시대기",서울,구로구,구로구,72,46,61,31,19,22,19,27,42,40,41,40,53
"도시대기",서울,서초구,서초구,74,49,62,32,24,23,19,29,47,47,47,48,51
"도시대기",서울,강서구,강서구,79,42,53,27,28,27,24,36,48,52,53,46,49
"도시대기",서울,송파구,송파구,67,43,54,31,23,21,19,29,36,36,41,40,43
"도시대기",서울,양천구,양천구,80,44,56,30,32,31,27,39,49,49,50,46,49
"도시대기",서울,노원구,노원구,67,37,48,26,27,26,21,28,35,38,38,36,43
"도시대기",부산,중구,광복동,55,41,51,34,28,32,27,26,34,30,29,31,30
"도시대기",부산,남구,대연동,45,36,47,31,27,31,24,26,33,31,30,31,32
"도시대기",부산,사상구,학장동,61,45,52,34,30,32,25,30,42,49,43,43,41
"도시대기",부산,사상구,덕포동,51,41,51,33,25,28,23,26,36,40,36,36,34
"도시대기",부산,북구,덕천동,54,48,36*,29,28,30,24,28,37,40,36,38,36
"도시대기",부산,북구,화명동,-,-,-,-,-,-,-,-,-,-,-,-,29
"도시대기",부산,사하구,장림동,54,42,55,36,30,33,28,34,46,47,40,42,38
"도시대기",부산,사하구,당리동,-,-,-,-,20,22,16,19,27,30,28,28,27
"도시대기",부산,부산진구,전포동,67,49,51,29,27,30,23,26,38,40,36,39,35
"도시대기",부산,부산진구,개금동,-,-,-,-,21,26,22,27,36,41,36,36,33
"도시대기",부산,연제구,연산동,48,40,48,33,28,29,25,28,35,37,32,37,37*
"도시대기",부산,영도구,태종대,62,45,37**,27,21,27,21,23,31,26,26,29,27
"도시대기",부산,영도구,청학동,-,-,-,-,-,-,-,-,-,-,-,-,26
"도시대기",부산,금정구,청룡동,50,38,43,32,26,29,24,25,31,30,29,31,32
"도시대기",부산,금정구,부곡동,44,38,44,29,25,29,24,26,31,31,27,31,32
"도시대기",부산,해운대구,좌동,44,35,43,28,25,27,22,24,30,27,26,29,30
"도시대기",부산,해운대구,재송동,-,-,-,-,-,-,-,-,-,-,-,-,29
"도시대기",부산,강서구,대저동,56,44,52*,34**,25,30,24,27,34,39,34,36,31
"도시대기",부산,강서구,녹산동,51,41,54*,39,32,36,30,33,41,42,38,42,40
"도시대기",부산,기장군,기장읍,43,34,41,27,23,26,22,27,30,26,25,28,29
"도시대기",부산,기장군,용수리,49,38,41,29,25,28,25,27,33,31,31,33,33
