가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
서정북로,37.070552,127.049743,37.07112,127.059587,은행,44,226,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,서정북로,,북창초등학교~서정주공2단지사거리,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
장안웃길,37.062846,127.075595,37.064699,127.069717,왕벚,197,900,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,장안웃길,,평택 장안동 산 82-1~이충레포츠공원출입구,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
서정로,37.065448,127.063817,37.065196,127.071592,왕벚+칠엽수,98,554,,도로 좌우쪽으로 왕벚+칠엽수나무가 심겨져 있어 아름다운 경관 연출,서정로,,개나리아파트~복창초등학교,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
서정남로,37.060497,127.053862,37.069873,127.055734,왕벚,14,196,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,서정남로,,SK 서정주유소~서정공원,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
두릉3길,37.062337,127.030483,37.064093,127.023433,왕벚,149,618,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,두릉3길,,평택 고덕면 두릉리 22~두릉1리 버스정류장,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
문곡2길,37.05884,127.015242,37.060923,127.014732,은행,91,648,,도로 좌우쪽으로 은행 나무가 심겨져 있어 아름다운 경관 연출,문곡2길,,문곡교~평택 고덕면 문곡리 707,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
송월로,37.073968,127.049011,37.082475,127.053475,은행,131,597,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,송월로,,일신가든 APT~캐피탈호텔,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
청원로,37.052089,127.052194,37.052554,127.059892,왕벚,66,571,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,청원로,,건성1교~현대아파트 사거리,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
청원로,37.052597,127.060172,37.044022,127.099273,왕벚+은행,469,3798,,도로 좌우쪽으로 왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,청원로,,건성1교~현대아파트 사거리,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
현암2길,37.306534,127.639737,37.313105,127.636131,벚나무,,0.8,,오학동 아파트 및 빌라 등 집단주거촌 인근에 일직선으로 뻗은 도로 양옆 벚나무가 식재되어 있어 봄철 아름다운 벚꽃길,,,현암동 쌈지공원~삼진교차로,,,2019-03-29
오학 걷고싶은거리,37.299761,127.649157,37.313582,127.631224,벚나무+개나리,,2.5,,"남한강 둔치와 여주대교 옆에 위치하고 있으며, 강변을 따라 노란 개나리가 피어 장관을 이루며, 벚나무가 양 옆에 식재되어 있어 봄철 벚꽃이 터널을 이루어 아름다움",,,여주대교~법무교차로,,,2019-03-29
세종로,37.297635,127.637256,37.288834,127.634445,은행나무,,1,,여주시청을 기점으로 여주시 시내의 중심지를 관통하는 도로 가로수로서 사람들이 가장 많이 이용하는 곳이며 양 옆으로 은행나무가 잘 식재되어 있어 여름철 시민들에게 더위로부터 시원함을 제공하며 가을에는 노랗게 물들어 아름다운 경관을 제공함.,,,시청삼거리~터미널사거리,,,2019-03-29
능북로,37.341032,127.559988,37.387854,127.531354,벚나무,,6.4,,"흥천 남한강 벚꽃축제를 개최할 정도로 크고 많은 벚나무가 양쪽 모두 식재되어 있으며, 여주시의 벚꽃 명소라 할 수 있음",,,귀백삼거리~이포초등학교,,,2019-03-29
아차노리로,37.877151,127.057212,37.878341,127.065763,왕벚나무,131,1,,봄철에 꽃이 피어 시민들에게 볼거리 제공,,,아차노리삼거리~마을안쪽,031-860-2412,동두천시청 공원녹지과,2020-06-30
광명로,37.4856643,126.8565184,37.4062918,126.8537879,은행나무+느티나무,,9.73,,은행나무의 단풍이 아름다운 가로수길,,,개봉동~학온동 시흥시계,,,2020-07-15
모세로,37.4813564,126.8650156,37.4815342,126.8721932,느티나무,,0.68,,느티나무의 청량하고 시원함을 느낄수 있는 가로수길,,,모세로삼거리~철산주공삼거리,,,2020-07-15
범안로,37.4815342,126.8721932,37.4642032,126.8828523,벗꽃,,12.57,,벚꽃의 아름다움을 느낄 수 있는 가로수길,,,목감천시흥시계(능촌교)~금천교교차로,,,2020-07-15
서독로,37.4163817,126.8496466,37.4128367,126.8869615,이팝나무,,3.97,,이팝나무 꽃의 풍요로움을 느낄 수 있는 가로수길,,,학온동입구~서독터널입구,,,2020-07-15
안양천로,37.4950668,126.8682933,37.4519456,126.8933773,벗꽃,,12.8,,벚꽃이 흩날리는 아름다운 가로수길,,,우성아파트 앞~시흥대교,,,2020-07-15
오리로,37.4815627,126.8465889,37.4104831,126.8822569,은행나무,,13.95,,은행나무의 단풍이 아름다운 가로수길,,,광명교~빛가온초등학교,,,2020-07-15
하안로,37.4738998,126.8730676,37.4387768,126.8950403,은행나무+느티나무,,4.5,,은행나무와 느티나무의 단풍이 아름다운 가로수길,,,복개천삼거리~기아교차로,,,2020-07-15
서정로,37.076213,127.03896,37.070526,127.049658,은행,203,1915,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,서정로,,개나리아파트~복창초등학교,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
쇼핑로,37.07914,127.054166,37.078627,127.052707,느티+비자,18,394,,도로 좌우쪽으로 느티+비자나무가 심겨져 있어 아름다운 경관 연출,쇼핑로,,신장육교~피닉스호텔,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
신장근린공원전면도로,37.084014,127.052995,37.08798,127.050071,왕벚,8,236,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,신장근린공원전면도로,,평택 신장동 327-83~평택 신장동 370-13,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
지산로115/140번길,37.081828,127.069128,37.081613,127.067495,왕벚+은행,103,919,,도로 좌우쪽으로 왕벚+은행나무가 심겨져 있어 아름다운 경관 연출,지산로115/140번길,,지산코아루 APT 101동~락토맨션201동,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
남산로,37.085569,127.049493,37.087226,127.048017,은행,21,214,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,남산로,,동오타일~파라다이스빌,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
방여울로39번길,37.045097,127.087426,37.048919,127.087768,왕벚,59,441,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,방여울로39번길,,평택 가재동 250-4~평택물류,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
와우로,37.216389,126.968611,37.212778,126.973889,벚나무,63,0.9,,벚나무,와우로,,와우로,031-369-6125,화성시청 산림녹지과,2019-04-02
경기대로,37.046059,127.060042,37.02765,127.071045,왕벚+은행+느티+양버즘+이팝+단풍,841,3086,,도로 좌우쪽으로 왕벚+은행+느티+양버즘+이팝+단풍나무가 심겨져 있어 아름다운 경관 연출,경기대로,,장당삼거리~갈곶리삼거리,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
동부대로,37.104802,127.082754,37.125278,127.078994,왕벚,213,1253,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,동부대로,,견산1교차로~평택 진위면 갈곶리 136-9,031-8024-6551,송탄출장소 건축녹지과,2019-04-01
서동대로,37.017376,127.016082,37.004981,126.962259,메타세콰이아,212,978,,도로 좌우쪽으로 메타세콰이아나무가 심겨져 있어 아름다운 경관 연출,서동대로,,신대교~비전지하차도사거리,031-8024-8482,안중출장소 건축녹지과,2019-04-01
혜산로,37.00640696,127.2786291,37.00867915,127.2773604,산벚나무,104,0.9,1999,혜산로,,,봉산로터리~한주오거리,031-678-5392,경기도 안성시청,2019-03-31
중앙대학로,37.00433928,127.2794464,36.99603204,127.2293505,산벚나무,643,5,1998,중앙대학로,,,백성교~중앙대후문,031-678-5392,경기도 안성시청,2019-03-31
보개원삼로,37.00872623,127.2836524,37.02536535,127.2888238,회화나무,347,2.3,2004,보개원삼로,,,(구)보개지서~보개면사무소,031-678-5392,경기도 안성시청,2019-03-31
서동대로,37.01665427,127.2923436,37.02237592,127.2728254,소나무,367,2.1,2004,서동대로,,,비봉터널~방축리,031-678-5392,경기도 안성시청,2019-03-31
발화대길,36.99461558,127.2793919,36.98766225,127.2799741,주목,304,1.2,2004,발화대길,,,옥천교~발화동,031-678-5392,경기도 안성시청,2019-03-31
남파로,37.00958673,127.2769361,37.0158395,127.2708424,왕벚나무,222,1.8,2007,남파로,,,금산공원~안성여중,031-678-5392,경기도 안성시청,2019-03-31
진안로,37.00456148,127.2819162,37.00405225,127.2871456,메타세콰이어,85,0.65,2009,진안로,,,백성교~수용촌,031-678-5392,경기도 안성시청,2019-03-31
남파로,37.00958673,127.2769361,37.0158395,127.2708424,왕벚나무,59,2,2011,남파로,,,한주아파트~안청중입구,031-678-5392,경기도 안성시청,2019-03-31
가현1길,37.0037454,127.2810811,37.00061654,127.3050194,왕벚나무,989,7,2013,가현1길,,,궁전웨딩홀~송동교,031-678-5392,경기도 안성시청,2019-03-31
보개원삼로,37.0071857,127.2822286,37.00999358,127.2846069,반송,7,0.07,2015,보개원삼로,,,안성맞춤랜드~가사동삼거리,031-678-5392,경기도 안성시청,2019-03-31
남파로,37.00974032,127.2770021,37.01542184,127.2718015,반송,96,0.01,2016,남파로,,,한주오거리~방일해장국,031-678-5392,경기도 안성시청,2019-03-31
배티로,37.00150385,127.2784843,37.00156937,127.2818656,메타세콰이어,53,0.38,2017,배티로,,,현수동 368-1~현수동 374,031-678-5392,경기도 안성시청,2019-03-31
강변남로,37.00252755,127.2778904,37.00098751,127.2706581,노르웨이단풍,52,0.5,2005,강변남로,,,안성교~옥천교,031-678-5392,경기도 안성시청,2019-03-31
아양로,37.00326321,127.2626703,37.00637905,127.2608762,산벚나무,91,0.4,2006,아양로,,,아양주공입구~강변로,031-678-5392,경기도 안성시청,2019-03-31
중앙로,37.00708675,127.2718809,37.00708675,127.2718809,홍단풍,8,0.65,2010,중앙로,,,석정파출소~농협중앙회,031-678-5392,경기도 안성시청,2019-03-31
하남대로 802번길,37.540931,127.208643,37.541994,127.216222,느티나무,,0.85,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,하남시 종합사회복지관 ~ 기아자동차 인근,,경기도 하남시청,2020-05-06
서하남로,37.522505,127.197728,37.517053,127.144557,느티나무+은행나무,,4.00,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,감일동 243 ~ 교산동 104-2,,경기도 하남시청,2020-05-06
덕풍서로,37.550277,127.198838,37.551897,127.203738,은행나무,,0.39,,은행나무 식재로 가을에 노란단풍을 볼 수 있음,,,풍산고 ~ 꽃뫼휴먼시아 201동,,경기도 하남시청,2020-05-06
덕풍공원로,37.533351,127.198538,37.535398,127.199083,왕벚나무,,0.21,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,덕풍쌍용'@ 입구 ~ 덕풍1동 주민센터 ~ 덕풍제1공영주차장,,경기도 하남시청,2020-05-06
덕풍서로,37.551973,127.203794,37.554561,127.205773,왕벚나무,,0.31,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,이마트 하남점 ~ 하남농협,,경기도 하남시청,2020-05-06
미사강변한강로,37.574900,127.176100,37.555200,127.206000,은행나무,,4.15,,은행나무 식재로 가을에 노란단풍을 볼 수 있음,,,선동 458  - 덕풍동 843,,경기도 하남시청,2020-05-06
미사강변북로,37.570900,127.178600,37.573300,127.194100,이팝나무,,1.41,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,선동 450 - 망월동905-1,,경기도 하남시청,2020-05-06
