가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
삼성면 명품가로숲길,37.022885,127.490109,37.026799,127.485026,소나무 외 11종,378,2.38,2015,우리군 삼성면 대사리·양덕리·덕정리 일대에 생활 주변 녹지 공간 조성을 확대하고 친환경조경을 실시하여 쾌적하고 아름다운 도심가로경관 및 친생태 환경을 조성으로 군민과 이용객에게 우리군의 위상과 힐링 명품가로숲 이미지를 널리 고양시킴,,지방도,삼성체육공원~양덕저수지,043-871-3752,충청북도 음성군청,2019-06-17,4470000,충청북도 음성군
수영로,35.140236,129.106161,35.165397,129.125121,은행나무,559,4297,,은행나무길,수영로,광역시도,대남교차로~수영교교차로,051-610-4531,수영구청,2020-01-29,3380000,부산광역시 수영구
연수로,35.143498,129.114769,35.173329,129.097165,은행나무,231,1832,,은행나무길,연수로,광역시도,수영교차로~연제구경계,051-610-4531,수영구청,2020-01-29,3380000,부산광역시 수영구
광남로,35.167683,129.109341,35.160231,129.128971,"은행나무, 왕벚나무",512,2873,,"은행나무, 왕벚나무길",광남로,구도,KBS앞삼거리~민락교하부,051-610-4531,수영구청,2020-01-29,3380000,부산광역시 수영구
무학천변길,36.977012,127.920564,36.976349,127.926283,벚나무길,55,0,,벚나무길,무학천변길,시도,봉계교~대봉교,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
봉방천변길,36.977949,127.911197,36.977012,127.920564,왕벚나무+복자기나무,124,1,,"왕벚나무,복자기나무길",봉방천변길,시도,충원대로~대봉교,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
천변로,36.978615,127.911543,36.968795,127.941925,은행나무+이팝나무,271,3,,"은행나무,벚나무,중국단풍나무길",천변로,시도,충원대로~소래포구사거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
염밭로,36.977012,127.920564,36.958035,127.945152,벚나무+은행나무+반송나무+이팝나무,177,1,,"벚나무,은행나무,반송나무길",염밭로,시도,소래포구사거리~금봉대로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
청운로,36.967585,127.930194,36.960903,127.926379,이팝나무,154,0,,이팝나무길,청원로,시도,사직산삼거리~호암사거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
용산로,36.964978,127.939041,36.964801,127.936892,은행나무,24,0,,은행나무길,용산로,시도,형설로~용정7길,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
용산천변길,36.961448,127.935432,36.965264,127.934014,벚나무,46,0,,벚나무길,용산천변길,시도,남산교~지곡다리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
사직로,36.9698043,127.9169418,36.968962,127.9454262,은행나무,412,3,,은행나무길,사직로,시도,사과나무사거리~안림사거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
빙현천변1길,36.972866,127.929056,36.968962,127.9454262,왕벚나무,29,0,,왕벚나무,빙현천변1길,시도,중앙로~사직로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
성서1길,36.972939,127.929513,36.968138,127.933491,벚나무,46,0,,벚나무길,성서1길,시도,중앙로~연세산부인과,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
갱고개로,36.971062,127.938538,36.993431,127.938755,은행나무+벚나무+이팝나무,260,3,,"은행나무,벚나무,이팝나무길",갱고개로,시도,교동사거리~금봉대로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
안림로,36.9693898,127.9461306,36.9726551,127.9792799,왕벚나무,618,3,,왕벚나무길,안림로,시도,안림사거리~마즈막재삼거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업로,36.973517,127.826092,37.076879,127.881747,은행나무+벚나무+소나무,1969,14,,"은행나무,벚나무,소나무길",첨단산업로,지방도,첨단삼거리~목계삼거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업1로,36.986808,127.823089,37.001703,127.839721,왕벚나무+이팝나무,538,3,,"왕벚나무,이팝나무길",첨단산업1로,시도,이류중앙교회~폐기물처리장,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업2로,36.985214,127.826377,36.995776,127.933834,느티나무,246,1,,느티나무길,첨단산업2로,시도,쇠실로~첨단산업3로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
